12	23
45	16
19	17
31	43
37	11
7	12
11	5
33	23
42	29
11	6
38	21
3	9
9	3
32	20
56	14
17	11
55	13
44	19
24	24
14	9
35	45
24	67
13	23
21	16
13	17
23	17
8	4
19	14
21	30
23	15
26	20
11	21
29	19
34	27
26	19
23	40
35	22
14	18
27	17
33	19
29	30
3	4
40	43
7	19
2	2
61	16
29	21
39	27
41	43
26	30
9	11
43	22
25	18
66	14
17	19
18	35
22	14
23	18
16	23
34	14
44	11
22	18
34	23
25	30
34	18
24	16
43	24
11	19
33	28
25	18
33	19
19	17
24	16
22	18
7	11
33	17
24	19
33	18
24	16
8	12
15	16
19	21
23	43
24	15
26	17
6	8
3	3
30	34
24	16
28	23
28	30
34	16
29	28
34	28
28	18
27	19
34	59
28	28
12	16
20	21
